	52507_184_S27_L001_R1_001	52507_212_S28_L001_R1_001	52507_240_S29_L001_R1_001	52507_271_S30_L001_R1_001	52507_351_S31_L001_R1_001	52507_356_S32_L001_R1_001	52507_362_S33_L001_R1_001	52507_385_S1_L001_R1_001	52507_392_S2_L001_R1_001	52507_397_S3_L001_R1_001	52507_401_S4_L001_R1_001	52507_406_S5_L001_R1_001	52507_407_S6_L001_R1_001	52507_411_S7_L001_R1_001	52507_413_S8_L001_R1_001	52507_414_S9_L001_R1_001	52507_415_S10_L001_R1_001	52507_418_S11_L001_R1_001	52507_422_S12_L001_R1_001	52507_425_S13_L001_R1_001	52507_429_S14_L001_R1_001	52507_431_S15_L001_R1_001	52507_440_S16_L001_R1_001	52507_442_S17_L001_R1_001	52507_445_S18_L001_R1_001	52507_465_S19_L001_R1_001	52507_467_S20_L001_R1_001	52507_472_S21_L001_R1_001	52507_473_S22_L001_R1_001	52507_477_S23_L001_R1_001	52507_479_S24_L001_R1_001	52507_484_S25_L001_R1_001	52507_485_S26_L001_R1_001	52508_002_S34_L001_R1_001	52508_004_S35_L001_R1_001	52508_011_S36_L001_R1_001	52508_014_S37_L001_R1_001	52508_017_S38_L001_R1_001	52508_019_S39_L001_R1_001	52508_022_S40_L001_R1_001	52508_024_S41_L001_R1_001	52508_025_S42_L001_R1_001	52508_027_S43_L001_R1_001	52508_031_S44_L001_R1_001	52508_033_S45_L001_R1_001	52508_036_S46_L001_R1_001	52508_039_S47_L001_R1_001	52508_040_S48_L001_R1_001	52508_043_S49_L001_R1_001	52508_046_S50_L001_R1_001	52508_047_S51_L001_R1_001	52508_052_S52_L001_R1_001	52508_056_S53_L001_R1_001	52508_062_S54_L001_R1_001	52508_064_S55_L001_R1_001	52508_065_S56_L001_R1_001	52508_069_S57_L001_R1_001	52508_070_S58_L001_R1_001	52508_078_S59_L001_R1_001	52508_079_S60_L001_R1_001	52508_086_S61_L001_R1_001	52508_087_S62_L001_R1_001	52508_088_S63_L001_R1_001	52508_090_S64_L001_R1_001	52508_091_S65_L001_R1_001	52508_101_S66_L001_R1_001	52508_105_S67_L001_R1_001	52508_106_S68_L001_R1_001	52508_111_S69_L001_R1_001	52508_114_S70_L001_R1_001	52508_115_S71_L001_R1_001	52508_117_S72_L001_R1_001	52508_119_S73_L001_R1_001	52508_127_S74_L001_R1_001	52508_129_S75_L001_R1_001	52508_131_S76_L001_R1_001	52508_134_S77_L001_R1_001	52508_135_S78_L001_R1_001	52508_139_S79_L001_R1_001	52508_143_S80_L001_R1_001	52508_145_S81_L001_R1_001	52508_149_S82_L001_R1_001	52508_156_S83_L001_R1_001	52508_157_S84_L001_R1_001	52508_158_S85_L001_R1_001	52508_167_S86_L001_R1_001	52508_168_S87_L001_R1_001	52508_173_S88_L001_R1_001	52508_174_S89_L001_R1_001	52508_176_S90_L001_R1_001	52508_179_S91_L001_R1_001	52508_182_S92_L001_R1_001	52508_183_S93_L001_R1_001	52508_189_S94_L001_R1_001	52508_201_S95_L001_R1_001
Tpa_4443_1	71,1	1100,1	9,0	330,0	93,0	278,1	10,0	15,0	1,0	10,0	1,0	6,0	1,0	4,0	10,0	0,0	28,0	15,0	7,0	1,0	4,0	25,0	6,0	38,0	29,0	45,0	34,0	4,0	28,0	10,0	5,2	20,0	49,0	7,0	1,0	851,0	2,0	144,0	4,0	0,0	3,0	0,0	12,0	2,0	4,0	29,0	1,0	5,0	7,0	5,0	8,0	30,0	9,0	3,0	4,0	21,0	30,1	5,0	6,0	64,0	2,0	6,0	39,0	48,1	3,0	1,0	25,0	29,0	0,0	0,0	2,0	2,0	17,0	513,1	8,0	10,0	4,0	1,0	4,0	5,0	0,0	55,0	31,0	62,0	8,0	0,0	2,0	8,0	138,0	9,0	5,0	2,0	6,1	8,0	0,0
Tpa_4454_1	6,13	222,351	0,5	0,171	0,73	0,165	0,6	0,4	0,1	0,6	0,0	0,19	0,0	0,0	4,6	0,1	0,42	0,13	0,1	0,3	0,5	0,7	0,4	0,16	9,18	0,13	0,11	0,3	1,7	0,6	0,7	3,13	15,37	3,5	0,0	227,363	1,2	1,53	0,3	0,0	0,0	0,0	1,4	0,4	0,2	0,23	0,1	0,5	0,5	0,7	0,2	6,14	0,4	0,5	0,3	4,8	0,24	0,5	2,4	0,49	0,0	3,1	1,46	0,28	0,2	0,3	0,37	0,19	1,0	0,0	0,3	0,0	6,7	0,63	1,2	0,6	1,1	0,0	0,4	0,1	0,0	0,54	0,20	0,11	0,4	0,0	0,0	0,15	30,58	4,3	0,1	0,2	0,10	0,5	0,2
Tpa_4467_1	8,0	0,160	0,1	0,52	0,22	32,33	0,1	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,3	0,0	0,10	0,2	0,1	0,0	0,0	1,5	0,1	0,8	0,8	0,9	0,2	0,1	0,5	0,0	0,2	0,7	0,18	0,2	0,0	0,124	0,0	0,21	0,0	0,0	0,0	0,2	0,2	0,2	0,4	0,8	0,0	0,1	0,2	3,0	0,0	0,10	0,1	0,0	0,2	0,3	0,8	1,0	0,0	0,13	0,0	0,2	0,18	0,8	0,0	0,0	0,12	0,7	0,0	0,0	0,0	0,0	1,2	0,98	0,0	1,1	0,0	0,0	0,3	0,1	0,0	0,17	0,5	0,7	0,0	0,0	0,0	0,5	0,46	0,6	0,0	0,0	0,6	0,3	0,0
Tpa_4495_1	0,50	1,2306	0,27	0,172	0,175	0,606	0,12	11,9	0,8	6,5	0,3	13,13	0,3	0,11	15,16	0,1	0,99	0,47	0,13	0,6	0,17	0,33	15,14	0,44	0,88	0,37	0,57	4,4	0,26	0,8	0,25	34,29	0,155	0,14	1,0	2,2146	0,6	0,92	0,2	0,0	0,0	0,1	0,26	0,13	0,35	23,24	1,1	0,11	16,15	0,6	2,6	61,0	6,3	0,9	0,2	0,54	0,79	0,14	0,19	41,63	0,0	10,8	0,80	0,81	0,5	0,12	0,79	32,28	0,6	0,2	0,11	0,2	0,45	0,198	0,8	0,22	0,4	0,2	0,15	0,10	0,3	59,48	0,71	0,50	0,15	0,0	0,3	38,0	2,192	0,21	0,8	0,1	0,21	11,10	0,0
Tpa_4506_1	1,0	102,0	0,0	2,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	4,0	2,0	0,0	0,0	0,0	2,0	1,0	0,0	2,0	3,0	1,0	0,0	1,0	0,0	0,0	1,0	4,0	0,0	0,0	89,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	2,0	0,0	0,0	1,0	0,0	0,0	1,1	0,0	0,0	0,0	1,0	3,0	0,0	0,0	1,0	0,0	1,0	0,0	1,0	0,0	0,0	1,0	3,0	0,0	0,0	0,0	0,0	1,1	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	8,0	1,0	1,0	0,0	0,0	0,0	0,0	6,0	1,0	0,0	0,0	2,0	0,0	0,0
Tpa_4511_1	0,156	1,799	0,10	0,402	0,112	0,258	0,9	0,11	1,4	0,11	0,0	0,6	0,0	2,2	0,15	0,0	0,29	0,11	0,4	0,0	0,4	0,15	0,17	0,67	0,56	0,70	0,46	0,1	1,117	0,5	6,19	0,57	0,27	0,9	0,1	0,538	0,1	0,247	0,3	0,0	0,1	0,0	0,11	0,3	0,7	0,107	0,2	0,3	0,5	0,5	0,2	0,23	0,1	0,2	0,2	0,13	0,36	0,6	0,10	0,167	0,0	0,12	0,174	0,66	0,3	0,4	0,37	0,10	0,1	0,0	0,1	0,0	0,17	0,440	1,2	0,9	0,3	0,0	1,3	0,4	0,1	0,225	0,25	8,31	0,8	0,0	0,1	0,5	0,197	0,13	0,2	0,2	0,19	0,8	0,0
Tpa_4549_1	3,0	13,11	0,0	5,2	13,0	15,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	1,0	0,0	0,0	0,1	2,0	0,0	0,0	4,0	4,0	0,0	0,0	1,1	1,0	0,0	2,0	3,0	1,2	0,0	13,15	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	2,0	0,0	0,0	0,0	1,0	0,0	2,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0	2,0	2,0	0,0	0,0	1,0	0,1	0,0	0,0	0,0	0,0	0,0	12,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,0	1,2	0,0	0,0	0,0	0,0	0,0	16,0	1,0	0,0	0,0	0,0	1,0	0,0
Tpa_4556_1	5,1	433,0	2,0	47,0	26,0	65,0	5,0	1,0	1,0	2,0	0,0	5,0	2,0	3,0	6,0	0,0	16,0	7,0	1,0	0,0	2,0	4,0	4,0	14,0	5,0	10,0	7,2	3,0	8,0	1,0	3,0	17,0	21,0	3,0	0,0	276,0	0,0	26,0	1,0	1,0	0,0	0,0	3,0	3,0	4,0	3,4	0,0	2,0	6,0	2,0	1,0	30,0	2,0	2,0	1,0	10,0	7,0	0,0	2,0	32,0	1,0	8,0	8,0	15,0	1,1	1,0	15,0	8,0	0,0	0,0	3,0	0,0	7,0	14,0	0,1	1,0	1,0	1,0	14,0	1,0	0,0	15,0	11,0	16,0	2,0	0,0	0,0	6,0	40,0	1,3	2,0	0,0	1,0	5,0	0,0
Tpa_4569_1	12,16	355,0	9,0	148,0	28,37	65,36	1,0	1,1	0,0	1,0	0,0	12,0	1,0	7,0	6,13	1,0	0,30	7,5	1,0	2,0	2,1	7,5	1,0	6,9	0,33	14,0	7,0	2,2	7,4	0,8	1,2	15,13	45,0	4,3	0,0	501,0	3,0	29,0	0,0	0,2	2,0	1,0	8,6	2,0	3,0	13,21	0,0	3,0	6,0	2,2	0,1	5,5	1,0	0,5	1,0	3,3	7,0	4,3	1,0	12,19	0,0	0,0	16,30	0,41	0,0	0,0	11,10	7,10	1,0	0,0	2,2	0,0	9,0	329,0	1,1	4,0	2,1	0,0	3,0	2,0	1,0	84,0	9,10	3,3	0,3	0,0	0,0	6,1	107,0	9,9	1,0	1,0	1,5	4,0	0,0
Tpa_4582_1	54,0	807,0	13,0	186,0	94,0	182,0	7,0	13,0	3,0	0,0	1,0	12,0	0,0	5,0	16,0	1,0	44,0	15,14	5,0	6,0	0,0	10,0	16,0	20,0	36,0	20,0	19,0	4,0	24,0	7,0	11,0	21,29	66,0	8,0	1,0	769,1	1,0	47,0	2,0	0,0	1,0	0,0	10,0	1,0	13,0	28,0	2,1	2,5	14,0	3,0	8,0	6,12	1,0	6,0	1,0	11,11	27,0	9,0	4,0	41,0	0,0	3,10	48,0	29,0	2,0	3,0	48,0	23,0	2,0	1,0	4,0	0,0	12,0	341,0	4,0	6,0	3,0	0,0	9,0	2,0	0,0	72,0	35,0	12,0	2,0	0,0	0,0	20,0	120,0	17,0	2,0	3,0	6,0	7,0	1,0
Tpa_4590_1	733,401	7581,0	75,0	4858,4	1233,1	2287,1	132,0	122,0	61,0	58,36	0,4	115,0	7,0	66,0	171,0	2,0	329,0	69,58	13,0	16,9	47,0	63,0	146,0	407,2	486,0	1010,0	333,0	44,0	970,0	49,0	483,0	572,0	332,0	80,0	21,0	8670,0	21,0	2716,0	26,0	13,0	26,0	4,7	192,0	45,0	68,46	1243,0	62,0	38,0	74,0	34,0	16,0	301,0	24,0	28,0	10,0	147,0	333,0	48,0	34,0	1413,1	18,0	136,0	2119,0	554,0	37,0	9,0	409,0	176,0	9,0	2,0	34,0	5,0	142,0	5341,0	53,0	46,0	14,0	4,0	89,0	76,0	13,8	1803,0	275,0	444,0	82,0	2,0	9,0	132,0	1980,3	84,0	21,0	14,0	120,0	64,0	4,0
Tpa_4591_1	63,0	1230,1	8,1	396,0	107,0	334,0	14,1	11,0	7,0	11,0	3,0	12,0	3,0	10,0	20,0	3,0	49,0	18,0	4,0	6,0	8,0	35,0	24,0	25,0	52,0	46,0	33,0	9,0	44,0	13,0	8,9	57,0	73,1	5,5	0,0	1190,0	1,0	135,1	5,0	0,0	1,0	1,0	17,0	6,0	9,0	41,0	3,0	4,0	10,6	11,0	4,0	46,0	5,0	1,5	1,0	32,0	29,0	8,0	8,0	90,0	0,0	12,0	78,0	45,0	2,0	2,0	22,0	38,0	0,0	0,0	1,0	4,0	21,0	594,1	4,1	9,0	4,0	1,0	11,0	3,0	7,0	95,0	26,0	37,0	3,0	0,0	1,0	14,0	173,0	4,8	4,0	2,0	5,0	18,0	0,0
Tpa_4592_1	0,26	0,249	0,2	0,109	0,25	0,56	0,2	0,5	0,1	0,2	0,0	0,6	0,0	0,0	0,8	0,0	0,7	4,3	0,0	0,0	0,1	0,5	0,6	0,8	0,8	0,7	0,6	0,3	0,7	0,2	8,0	0,5	0,12	0,2	0,0	0,179	0,0	0,45	0,0	0,0	0,0	0,1	0,3	0,2	0,2	0,16	0,1	0,1	1,4	0,4	0,0	0,6	0,0	0,1	0,0	0,7	0,5	0,2	1,1	0,24	0,0	0,4	0,12	4,0	0,0	0,1	0,13	0,4	0,0	0,0	0,0	0,0	0,3	57,55	0,1	0,2	0,2	0,0	0,6	0,2	0,0	0,18	4,2	0,8	0,3	0,0	0,0	0,3	0,45	0,3	0,1	0,0	0,0	0,1	0,0
Tpa_4593_1	8,0	771,3	4,0	56,1	38,0	147,0	2,0	6,0	3,0	2,0	1,0	3,0	0,0	2,0	10,0	0,0	20,0	11,0	1,0	4,0	0,0	4,0	6,0	9,0	5,5	4,0	5,0	1,0	8,0	2,0	8,0	18,0	33,0	5,0	0,0	637,1	0,0	27,0	3,0	0,0	0,0	0,0	3,0	0,0	5,3	10,0	1,0	3,0	6,0	4,0	1,0	19,0	1,0	3,0	0,0	18,0	17,0	5,0	0,0	23,0	1,0	5,0	19,0	12,0	2,0	0,0	19,0	10,0	0,0	0,0	3,0	1,0	12,0	64,0	1,0	5,0	1,0	1,0	3,0	2,0	3,0	34,0	6,13	12,0	3,0	0,0	2,0	7,2	50,0	2,0	1,0	2,0	5,0	3,2	0,0
Tpa_4595_1	0,48	0,361	0,1	0,132	0,51	0,89	0,0	0,6	0,0	0,0	0,0	0,6	0,0	0,2	0,9	0,0	0,5	0,15	0,1	0,0	0,0	0,9	0,1	0,5	1,11	0,5	0,2	0,4	0,10	0,1	0,5	0,12	0,27	0,4	0,0	0,342	0,0	0,30	0,2	0,1	0,0	0,2	0,6	0,0	0,5	0,13	0,0	0,0	0,1	0,2	0,0	0,1	0,1	0,3	0,0	0,5	1,6	0,0	0,2	0,5	0,0	0,5	0,51	0,3	0,1	0,0	0,5	0,16	0,0	0,1	0,1	0,0	0,3	0,52	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,55	0,8	0,4	0,1	0,0	0,1	0,7	0,89	0,16	0,0	0,0	0,5	0,1	0,0
Tpa_4599_1	4887,4	34201,24	116,143	12919,12	3133,3	13940,18	373,1	412,1	157,0	362,346	16,0	202,0	10,0	210,1	361,1	30,0	826,1	233,245	89,0	75,0	112,0	535,0	509,0	1359,0	1233,2	3782,2	1245,2	143,0	3325,0	128,0	1242,1	1281,0	705,0	232,0	104,0	42056,28	51,0	14402,15	49,69	35,0	68,0	63,0	389,2	67,55	205,194	985,1039	139,0	132,0	251,0	120,0	104,1	1063,0	87,76	96,0	48,37	474,0	1148,1	158,0	128,0	5780,6	52,1	454,1	4468,6	1164,0	116,0	47,0	419,486	399,1	32,0	21,0	99,0	46,0	524,0	6117,6455	195,168	103,129	131,0	11,0	266,1	340,0	40,0	2538,1	828,0	2063,1	171,0	2,0	27,21	386,1	4201,5	219,1	75,2	65,1	266,0	191,1	21,0
Tpa_4633_1	0,49	0,774	0,7	0,160	0,112	0,230	5,4	0,5	4,2	0,1	0,0	0,10	0,0	0,3	1,10	0,3	0,46	0,15	0,0	0,2	0,4	0,17	0,10	0,25	0,35	0,31	0,24	0,4	0,24	9,0	0,19	0,41	0,56	0,7	0,0	0,549	0,4	0,41	0,1	0,0	0,1	1,0	0,11	0,8	0,8	0,17	0,3	0,5	0,4	0,5	0,5	0,17	0,3	0,3	0,2	0,14	22,9	0,6	0,8	0,42	0,2	0,7	0,63	0,31	0,1	0,1	0,50	24,0	0,1	0,0	0,4	0,1	0,15	0,281	5,4	9,0	0,5	0,0	0,7	0,1	0,4	0,75	0,28	0,21	0,8	0,0	0,0	0,11	0,142	0,13	0,8	0,4	0,11	0,7	0,1
Tpa_4637_1	0,3	0,75	0,2	4,1	0,9	0,3	0,0	0,1	0,0	0,1	0,1	0,1	0,0	0,0	0,2	0,0	0,5	0,2	0,0	0,2	0,0	0,3	0,0	0,0	2,2	0,0	2,2	0,0	0,2	0,0	0,2	2,4	0,9	0,1	0,0	0,58	0,0	2,1	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,0	0,0	0,1	0,1	0,1	0,0	0,9	0,0	0,2	0,0	0,2	0,2	0,0	0,0	0,7	0,0	0,1	0,2	0,1	0,0	0,0	0,7	0,1	0,0	0,0	0,0	0,1	0,4	0,6	0,1	0,1	0,0	0,0	0,1	0,0	0,0	0,2	0,2	0,4	0,0	0,0	0,1	0,0	0,9	0,0	0,0	0,0	0,1	0,1	0,0
Tpa_4668_1	3,0	126,0	0,0	0,12	8,0	4,5	0,0	0,0	1,0	2,0	0,0	0,1	0,0	1,0	1,0	0,0	6,0	3,0	0,0	0,0	0,0	5,0	0,0	3,0	5,0	5,0	1,0	0,0	0,1	0,0	1,0	5,0	8,0	0,0	0,0	98,0	0,0	0,11	0,0	0,0	0,0	0,0	1,0	0,0	3,0	2,0	0,0	1,0	0,1	1,0	0,0	7,2	3,0	0,0	0,0	2,0	0,4	0,0	0,1	11,0	0,0	4,0	3,0	5,0	0,0	0,0	3,0	1,0	0,0	0,0	1,0	0,0	1,0	3,5	0,0	0,2	0,1	0,0	3,0	1,0	0,0	4,0	1,0	3,3	0,0	0,0	0,0	0,0	2,6	0,0	0,0	0,0	1,0	0,0	0,0
Tpa_4678_1	0,126	0,1480	0,9	0,475	0,130	0,348	0,15	0,26	0,8	0,11	0,1	0,32	0,1	0,17	0,28	0,0	0,60	0,37	0,2	0,7	0,9	0,52	0,27	0,70	0,74	0,37	0,51	0,8	0,71	0,15	0,38	0,66	0,105	0,11	0,0	0,1462	0,3	0,236	0,5	0,0	0,2	0,2	0,27	0,5	0,12	0,64	0,2	0,3	0,21	0,6	0,6	0,78	0,5	0,3	0,5	0,34	0,42	0,4	0,16	0,107	0,3	0,8	0,135	0,64	0,3	0,1	0,64	0,61	0,0	0,1	0,10	0,4	0,30	0,625	0,12	0,12	0,9	0,2	0,14	0,13	0,3	0,160	0,50	0,57	0,13	0,0	1,0	0,16	0,206	0,17	0,4	0,1	0,10	0,16	0,1
Tpa_4697_1	0,101	2,1652	0,9	0,416	0,165	0,463	0,8	0,12	0,9	1,10	0,2	0,20	0,0	0,9	0,38	0,0	0,56	0,48	0,4	0,6	0,11	1,32	0,25	0,48	0,84	0,55	0,37	0,5	0,58	0,14	0,44	0,43	0,118	0,16	0,0	1,1721	0,2	0,157	0,5	0,0	0,4	0,2	0,23	2,5	0,16	0,72	2,1	0,8	0,21	0,7	0,7	0,73	0,6	0,5	0,1	0,33	0,60	0,15	0,18	0,102	0,0	0,18	0,170	0,59	0,6	0,5	0,73	0,44	0,3	0,0	0,13	0,0	1,29	0,441	0,8	0,7	0,3	0,1	0,13	0,7	0,8	0,176	0,52	0,31	7,0	0,0	0,2	17,13	0,256	0,13	0,3	2,1	0,15	0,13	0,2
Tpa_4713_1	0,297	0,2450	1,22	1,1543	0,293	0,1033	19,18	0,49	0,16	7,10	0,2	0,43	0,3	0,15	0,67	0,3	0,143	32,33	0,2	0,12	0,21	0,79	0,43	0,82	0,197	0,174	63,45	0,9	0,190	0,22	0,62	1,147	0,179	17,12	0,5	0,2810	0,11	0,557	0,6	0,2	0,5	0,1	0,77	0,14	0,36	1,328	7,7	0,15	13,16	0,15	0,10	0,110	0,3	1,13	0,5	0,58	0,60	0,18	0,25	1,293	0,2	0,28	0,591	0,214	0,7	0,6	2,157	0,83	0,2	0,0	0,12	0,3	29,19	0,2651	0,23	0,15	0,6	0,1	0,30	0,19	0,3	1,617	56,58	79,51	0,17	0,0	0,2	0,53	2,874	0,43	0,13	0,7	0,30	0,26	0,5
Tpa_4731_1	0,8	0,124	0,1	0,40	15,10	0,18	0,0	0,3	0,1	0,1	0,0	4,1	0,0	0,0	0,6	0,0	0,17	0,7	0,0	0,0	0,0	0,3	0,3	2,3	0,7	0,5	0,0	0,2	0,0	0,2	0,5	0,13	0,11	0,2	0,1	0,91	0,0	0,5	0,0	0,1	0,0	0,0	0,4	0,0	0,0	0,5	0,0	0,2	0,3	0,1	0,1	1,5	0,0	0,0	0,1	0,7	0,4	0,3	0,5	0,11	0,0	0,1	0,8	10,4	0,1	0,0	0,11	0,8	0,0	0,0	1,1	0,0	0,3	0,54	0,0	0,1	0,0	0,0	0,2	0,0	0,0	0,12	0,8	0,5	0,0	0,0	0,0	0,2	0,42	0,3	0,0	0,2	1,2	0,1	0,0
Tpa_4747_1	25,0	56,0	2,0	22,0	8,0	12,0	1,0	0,0	1,0	3,0	0,0	2,0	0,0	1,0	5,0	1,0	3,0	3,0	0,0	1,0	0,0	13,0	0,0	9,0	21,0	3,0	0,0	0,0	3,0	0,0	10,0	11,1	9,0	2,0	0,0	37,0	0,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	10,2	0,0	2,0	4,0	2,0	1,0	6,0	1,0	4,0	0,0	2,0	8,0	1,0	1,0	3,0	0,0	6,0	19,0	3,1	0,0	0,0	4,0	2,0	1,0	0,0	1,0	0,0	3,0	30,0	2,0	0,0	1,0	1,0	2,0	0,0	3,0	29,0	19,0	8,0	1,0	0,0	1,0	1,0	7,5	4,0	0,0	0,0	0,0	1,0	0,0
Tpa_4749_1	8,0	56,74	1,0	46,0	15,0	30,0	0,0	2,0	1,2	1,0	0,0	3,0	0,0	2,0	3,0	0,0	14,0	5,0	1,0	0,0	2,0	2,0	3,0	4,0	10,0	3,0	7,0	2,0	3,0	1,0	2,0	11,0	18,0	1,0	0,0	64,63	0,0	14,0	1,0	1,0	0,0	1,0	2,0	0,0	0,0	8,0	0,0	2,0	2,0	1,0	1,0	6,0	0,0	3,0	0,0	5,0	3,0	3,0	2,2	6,0	0,0	3,0	9,0	3,9	2,0	0,0	9,0	8,0	0,0	0,0	1,0	0,0	3,0	97,0	1,0	0,0	0,0	0,0	5,0	0,0	1,0	20,0	8,0	8,0	0,0	0,0	0,0	3,0	20,0	3,0	1,0	2,0	2,0	1,0	0,0
Tpa_4804_1	0,11	130,108	0,1	26,16	20,13	60,41	0,2	0,0	0,0	0,1	0,0	0,0	0,0	1,0	0,6	0,1	0,15	2,4	1,0	1,0	0,0	0,7	1,0	1,3	0,13	0,6	0,2	1,0	1,3	1,1	0,2	0,6	0,18	1,1	0,0	120,124	1,0	6,3	0,1	0,0	0,0	1,0	3,3	0,1	0,1	4,3	0,0	0,3	0,7	0,1	2,0	3,1	0,2	2,1	0,1	0,4	9,0	2,1	0,4	3,1	0,0	3,1	0,17	0,10	0,0	0,0	3,2	0,11	0,0	0,0	0,0	0,0	4,1	57,42	0,2	0,2	0,0	0,0	1,1	0,0	1,0	15,13	1,3	0,5	0,1	0,0	0,0	0,0	25,19	0,5	0,0	0,0	0,4	0,8	0,0
Tpa_4849_1	17,15	0,454	0,5	0,0	0,27	0,78	0,3	0,5	0,3	0,4	0,0	0,9	1,0	0,4	0,10	0,0	0,16	0,10	0,0	3,1	0,1	0,19	0,2	0,24	0,17	0,6	3,10	0,3	0,20	2,3	0,12	0,17	0,21	3,2	0,0	1,329	0,0	0,0	0,0	0,0	0,2	0,1	0,5	3,0	2,0	0,14	0,2	0,0	1,5	0,3	0,1	0,10	0,1	0,1	0,1	0,8	1,24	4,3	0,6	0,34	1,0	0,6	0,19	0,22	0,0	0,2	0,22	0,9	0,0	0,0	0,1	0,0	0,9	1,280	0,1	0,0	0,2	0,0	0,6	1,0	0,0	0,47	0,8	8,8	0,3	0,0	0,0	0,10	0,31	0,6	0,1	0,0	0,13	0,2	0,0
Tpa_4862_1	129,0	1138,0	3,5	349,0	170,0	212,118	5,1	12,0	9,0	6,0	2,0	18,0	2,0	7,12	30,0	0,4	39,19	30,0	1,3	2,4	6,6	45,0	22,0	31,0	82,0	60,0	9,6	3,2	17,6	11,0	13,8	52,0	52,35	13,7	0,0	1120,0	2,0	89,0	2,0	0,0	5,0	1,0	14,9	0,1	2,4	58,0	0,0	10,0	20,0	8,0	7,0	16,0	5,0	2,4	0,0	19,7	33,0	17,0	10,0	76,0	0,0	0,7	56,39	32,27	0,0	4,0	25,26	17,20	1,0	0,0	4,0	1,0	20,0	724,0	1,1	6,0	1,0	0,0	21,0	2,0	4,2	142,0	42,0	26,0	2,4	0,0	2,0	25,0	303,0	23,0	4,0	4,1	20,0	11,6	0,0
Tpa_4885_1	0,0	18,19	0,0	4,0	1,1	10,0	0,0	0,0	0,0	1,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,1	0,1	0,0	2,0	0,0	0,0	1,0	1,0	0,0	1,0	1,0	0,0	0,0	12,14	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	2,0	0,2	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,1	0,0	9,3	0,0	0,0	0,0	0,0	1,0	0,0	0,0	2,0	2,0	2,2	0,0	0,0	0,0	1,0	5,0	0,0	0,0	0,0	0,1	0,0	0,0
Tpa_4886_1	7,0	100,1	0,0	34,0	20,0	48,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	1,0	1,0	0,0	3,0	1,0	0,0	0,0	0,0	0,0	2,0	1,0	5,0	6,0	0,0	0,0	8,0	1,0	3,0	3,0	9,0	2,0	0,0	73,0	0,0	6,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	4,0	0,0	1,0	2,0	1,0	0,0	1,0	0,0	0,0	0,0	1,0	3,0	0,0	0,0	11,0	0,0	0,0	4,0	7,0	0,0	0,0	5,0	3,0	0,0	0,0	0,0	0,0	1,0	22,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	9,0	9,0	2,0	0,0	0,0	0,0	0,0	24,0	2,0	0,0	0,0	2,0	0,0	0,0
Tpa_4900_1	73,0	532,0	8,0	445,0	80,0	280,1	2,0	5,0	1,0	0,0	0,0	2,0	1,0	6,0	16,0	2,0	36,0	5,7	2,0	3,0	0,1	9,10	2,0	12,0	32,0	47,0	24,0	4,0	46,0	8,0	14,0	24,0	22,0	9,0	2,0	575,0	2,0	91,0	3,0	0,0	1,0	2,0	16,1	3,0	11,0	65,0	2,0	4,0	6,0	3,3	4,0	10,0	3,0	1,0	1,1	13,0	21,0	3,0	11,0	41,0	0,0	12,0	98,0	61,0	2,0	2,0	45,0	23,0	1,0	0,0	3,0	0,0	5,0	426,484	8,0	4,0	2,0	0,0	7,0	0,2	5,0	129,0	19,0	35,0	1,0	0,0	0,0	6,0	67,77	5,0	7,0	2,0	6,4	6,0	1,0
